RA,Dec,Efficiency
0.00000, -1.57080, 0.000
0.00000, -1.55325, 0.000
0.00000, -1.53569, 0.000
0.00000, -1.51814, 0.000
0.00000, -1.50059, 0.000
0.00000, -1.48304, 0.000
0.00000, -1.46549, 0.000
0.00000, -1.44794, 0.000
0.00000, -1.43039, 0.000
0.00000, -1.41284, 0.000
0.00000, -1.39529, 0.000
0.00000, -1.37774, 0.000
0.00000, -1.36019, 0.000
0.00000, -1.34264, 0.000
0.00000, -1.32509, 0.521
0.00000, -1.30753, 0.526
0.00000, -1.28998, 0.531
0.00000, -1.27243, 0.545
0.00000, -1.25488, 0.562
0.00000, -1.23733, 0.574
0.00000, -1.21978, 0.588
0.00000, -1.20223, 0.600
0.00000, -1.18468, 0.607
0.00000, -1.16713, 0.609
0.00000, -1.14958, 0.611
0.00000, -1.13203, 0.613
0.00000, -1.11448, 0.615
0.00000, -1.09692, 0.617
0.00000, -1.07937, 0.618
0.00000, -1.06182, 0.621
0.00000, -1.04427, 0.623
0.00000, -1.02672, 0.626
0.00000, -1.00917, 0.629
0.00000, -0.99162, 0.632
0.00000, -0.97407, 0.635
0.00000, -0.95652, 0.639
0.00000, -0.93897, 0.642
0.00000, -0.92142, 0.645
0.00000, -0.90387, 0.649
0.00000, -0.88632, 0.653
0.00000, -0.86876, 0.657
0.00000, -0.85121, 0.664
0.00000, -0.83366, 0.670
0.00000, -0.81611, 0.677
0.00000, -0.79856, 0.683
0.00000, -0.78101, 0.689
0.00000, -0.76346, 0.695
0.00000, -0.74591, 0.701
0.00000, -0.72836, 0.709
0.00000, -0.71081, 0.719
0.00000, -0.69326, 0.731
0.00000, -0.67571, 0.743
0.00000, -0.65815, 0.763
0.00000, -0.64060, 0.789
0.00000, -0.62305, 0.814
0.00000, -0.60550, 0.840
0.00000, -0.58795, 0.865
0.00000, -0.57040, 0.890
0.00000, -0.55285, 0.916
0.00000, -0.53530, 0.941
0.00000, -0.51775, 0.945
0.00000, -0.50020, 0.947
0.00000, -0.48265, 0.949
0.00000, -0.46510, 0.950
0.00000, -0.44755, 0.954
0.00000, -0.42999, 0.955
0.00000, -0.41244, 0.955
0.00000, -0.39489, 0.955
0.00000, -0.37734, 0.955
0.00000, -0.35979, 0.955
0.00000, -0.34224, 0.955
0.00000, -0.32469, 0.956
0.00000, -0.30714, 0.956
0.00000, -0.28959, 0.956
0.00000, -0.27204, 0.956
0.00000, -0.25449, 0.956
0.00000, -0.23694, 0.956
0.00000, -0.21938, 0.956
0.00000, -0.20183, 0.956
0.00000, -0.18428, 0.956
0.00000, -0.16673, 0.956
0.00000, -0.14918, 0.956
0.00000, -0.13163, 0.956
0.00000, -0.11408, 0.956
0.00000, -0.09653, 0.956
0.00000, -0.07898, 0.956
0.00000, -0.06143, 0.956
0.00000, -0.04388, 0.956
0.00000, -0.02633, 0.956
0.00000, -0.00878, 0.956
0.00000,  0.00878, 0.956
0.00000,  0.02633, 0.956
0.00000,  0.04388, 0.956
0.00000,  0.06143, 0.956
0.00000,  0.07898, 0.956
0.00000,  0.09653, 0.956
0.00000,  0.11408, 0.956
0.00000,  0.13163, 0.956
0.00000,  0.14918, 0.956
0.00000,  0.16673, 0.942
0.00000,  0.18428, 0.924
0.00000,  0.20183, 0.908
0.00000,  0.21938, 0.895
0.00000,  0.23694, 0.877
0.00000,  0.25449, 0.857
0.00000,  0.27204, 0.839
0.00000,  0.28959, 0.826
0.00000,  0.30714, 0.811
0.00000,  0.32469, 0.795
0.00000,  0.34224, 0.779
0.00000,  0.35979, 0.763
0.00000,  0.37734, 0.749
0.00000,  0.39489, 0.737
0.00000,  0.41244, 0.724
0.00000,  0.42999, 0.711
0.00000,  0.44755, 0.699
0.00000,  0.46510, 0.693
0.00000,  0.48265, 0.686
0.00000,  0.50020, 0.680
0.00000,  0.51775, 0.674
0.00000,  0.53530, 0.667
0.00000,  0.55285, 0.661
0.00000,  0.57040, 0.657
0.00000,  0.58795, 0.654
0.00000,  0.60550, 0.651
0.00000,  0.62305, 0.648
0.00000,  0.64060, 0.645
0.00000,  0.65815, 0.642
0.00000,  0.67571, 0.639
0.00000,  0.69326, 0.636
0.00000,  0.71081, 0.633
0.00000,  0.72836, 0.631
0.00000,  0.74591, 0.628
0.00000,  0.76346, 0.625
0.00000,  0.78101, 0.623
0.00000,  0.79856, 0.620
0.00000,  0.81611, 0.618
0.00000,  0.83366, 0.615
0.00000,  0.85121, 0.613
0.00000,  0.86876, 0.611
0.00000,  0.88632, 0.609
0.00000,  0.90387, 0.606
0.00000,  0.92142, 0.604
0.00000,  0.93897, 0.602
0.00000,  0.95652, 0.600
0.00000,  0.97407, 0.597
0.00000,  0.99162, 0.595
0.00000,  1.00917, 0.592
0.00000,  1.02672, 0.589
0.00000,  1.04427, 0.586
0.00000,  1.06182, 0.583
0.00000,  1.07937, 0.580
0.00000,  1.09692, 0.577
0.00000,  1.11448, 0.574
0.00000,  1.13203, 0.570
0.00000,  1.14958, 0.565
0.00000,  1.16713, 0.560
0.00000,  1.18468, 0.557
0.00000,  1.20223, 0.555
0.00000,  1.21978, 0.552
0.00000,  1.23733, 0.550
0.00000,  1.25488, 0.548
0.00000,  1.27243, 0.546
0.00000,  1.28998, 0.543
0.00000,  1.30753, 0.539
0.00000,  1.32509, 0.538
0.00000,  1.34264, 0.000
0.00000,  1.36019, 0.000
0.00000,  1.37774, 0.000
0.00000,  1.39529, 0.000
0.00000,  1.41284, 0.000
0.00000,  1.43039, 0.000
0.00000,  1.44794, 0.000
0.00000,  1.46549, 0.000
0.00000,  1.48304, 0.000
0.00000,  1.50059, 0.000
0.00000,  1.51814, 0.000
0.00000,  1.53569, 0.000
0.00000,  1.55325, 0.000
0.00000,  1.57080, 0.000
0.01750, -1.57080, 0.000
0.01750, -1.55325, 0.000
0.01750, -1.53569, 0.000
0.01750, -1.51814, 0.000
0.01750, -1.50059, 0.000
0.01750, -1.48304, 0.000
0.01750, -1.46549, 0.000
0.01750, -1.44794, 0.000
0.01750, -1.43039, 0.000
0.01750, -1.41284, 0.000
0.01750, -1.39529, 0.000
0.01750, -1.37774, 0.000
0.01750, -1.36019, 0.000
0.01750, -1.34264, 0.000
0.01750, -1.32509, 0.000
0.01750, -1.30753, 0.526
0.01750, -1.28998, 0.529
0.01750, -1.27243, 0.541
0.01750, -1.25488, 0.558
0.01750, -1.23733, 0.571
0.01750, -1.21978, 0.584
0.01750, -1.20223, 0.600
0.01750, -1.18468, 0.607
0.01750, -1.16713, 0.609
0.01750, -1.14958, 0.611
0.01750, -1.13203, 0.613
0.01750, -1.11448, 0.615
0.01750, -1.09692, 0.616
0.01750, -1.07937, 0.618
0.01750, -1.06182, 0.620
0.01750, -1.04427, 0.623
0.01750, -1.02672, 0.626
0.01750, -1.00917, 0.628
0.01750, -0.99162, 0.631
0.01750, -0.97407, 0.635
0.01750, -0.95652, 0.638
0.01750, -0.93897, 0.641
0.01750, -0.92142, 0.645
0.01750, -0.90387, 0.649
0.01750, -0.88632, 0.652
0.01750, -0.86876, 0.657
0.01750, -0.85121, 0.663
0.01750, -0.83366, 0.670
0.01750, -0.81611, 0.676
0.01750, -0.79856, 0.682
0.01750, -0.78101, 0.688
0.01750, -0.76346, 0.694
0.01750, -0.74591, 0.700
0.01750, -0.72836, 0.710
0.01750, -0.71081, 0.720
0.01750, -0.69326, 0.730
0.01750, -0.67571, 0.742
0.01750, -0.65815, 0.763
0.01750, -0.64060, 0.789
0.01750, -0.62305, 0.814
0.01750, -0.60550, 0.840
0.01750, -0.58795, 0.865
0.01750, -0.57040, 0.890
0.01750, -0.55285, 0.916
0.01750, -0.53530, 0.941
0.01750, -0.51775, 0.944
0.01750, -0.50020, 0.947
0.01750, -0.48265, 0.949
0.01750, -0.46510, 0.950
0.01750, -0.44755, 0.954
0.01750, -0.42999, 0.955
0.01750, -0.41244, 0.955
0.01750, -0.39489, 0.955
0.01750, -0.37734, 0.955
0.01750, -0.35979, 0.955
0.01750, -0.34224, 0.955
0.01750, -0.32469, 0.956
0.01750, -0.30714, 0.956
0.01750, -0.28959, 0.956
0.01750, -0.27204, 0.956
0.01750, -0.25449, 0.956
0.01750, -0.23694, 0.956
0.01750, -0.21938, 0.956
0.01750, -0.20183, 0.956
0.01750, -0.18428, 0.956
0.01750, -0.16673, 0.956
0.01750, -0.14918, 0.956
0.01750, -0.13163, 0.956
0.01750, -0.11408, 0.956
0.01750, -0.09653, 0.956
0.01750, -0.07898, 0.956
0.01750, -0.06143, 0.956
0.01750, -0.04388, 0.956
0.01750, -0.02633, 0.956
0.01750, -0.00878, 0.956
0.01750,  0.00878, 0.956
